question,option,input_type,input_id,dependence,dependence_value,required
First name,Per Frederik,text,name_first,,,TRUE
Last name,Scholander,text,name_last,,,TRUE
Primary institution,Scripps Institute of Oceanography,text,institution,,,TRUE
Email address,scholander@ucsd.edu,text,email,,,TRUE
Are you interested in submitting plant water potential data to the PSInet open-access data portal?,Yes,mc,submission_interest,,,TRUE
Are you interested in submitting plant water potential data to the PSInet open-access data portal?,No,mc,submission_interest,,,TRUE
Are you interested in submitting plant water potential data to the PSInet open-access data portal?,Not sure,mc,submission_interest,,,TRUE
"Please give a short ecological description of your site(s) including vegetation type (e.g., deciduous forest, grassland, cultivated crops), climate (e.g., mesic, arid, seasonal monsoon, etc.), management history, and approximate geographic location.  ",Your answer,text,ecol_description,,,TRUE
"Is your site exposed to ambient meteorological conditions, or actively managed/subject to experimental manipulation (e.g., irrigation, through-fall displacement)?",Ambient,mc,treatment_type,,,TRUE
"Is your site exposed to ambient meteorological conditions, or actively managed/subject to experimental manipulation (e.g., irrigation, through-fall displacement)?",Experimental,mc,treatment_type,,,TRUE
What is the operational status of your site(s)?,Active,mc,site_status,,,TRUE
What is the operational status of your site(s)?,Decomissioned,mc,site_status,,,TRUE
"If active, how long do you plan to continue collecting plant water potential data?","(e.g., 6 months)",text,site_prospective_duration,site_status,Active,FALSE
"Please briefly describe your experimental design, including organization of sites/plots/treatments, number of species and replication, and frequency of sampling. ",Your answer,text,psi_exp_design,,,TRUE
"Please briefly describe your plant water potential sampling scheme, including procedures, instruments, and timing. ",Your answer,text,psi_procedures,,,TRUE
"Are your plant water potential data discrete, continuous, or both?",discrete (pressure chamber),mc,psi_type,,,TRUE
"Are your plant water potential data discrete, continuous, or both?","continuous (e.g., psychrometry)",mc,psi_type,,,TRUE
"Are your plant water potential data discrete, continuous, or both?",both,mc,psi_type,,,TRUE
Have your plant water potential data been previously shared to a data network or repository?,Yes,mc,data_shared,,,TRUE
Have your plant water potential data been previously shared to a data network or repository?,No,mc,data_shared,,,TRUE
"If yes, please provide a link to the published dataset. ",Your answer,text,data_link,data_shared,Yes,FALSE
Have your plant water potential data been previously published?,Yes,mc,data_published,,,TRUE
Have your plant water potential data been previously published?,No,mc,data_published,,,TRUE
"If yes, please list any relevant DOI's. ",Your answer,text,publication_doi,data_published,Yes,FALSE
Soil water content is available. ,Discrete,matrix,met_matrix,,,TRUE
Soil water content is available. ,Continuous,matrix,met_matrix,,,TRUE
Soil water content is available. ,Not available,matrix,met_matrix,,,TRUE
Soil water potential is available. ,Discrete,matrix,met_matrix,,,TRUE
Soil water potential is available. ,Continuous,matrix,met_matrix,,,TRUE
Soil water potential is available. ,Not available,matrix,met_matrix,,,TRUE
